Cycle start time,Cycle end time,Cycle timezone,Workout start time,Workout end time,Duration (min),Activity name,Activity Strain,Energy burned (cal),Max HR (bpm),Average HR (bpm),HR Zone 1 %,HR Zone 2 %,HR Zone 3 %,HR Zone 4 %,HR Zone 5 %,GPS enabled,Distance (meters),Altitude gain (meters),Altitude change (meters)
2024-06-06 04:04:33,2024-06-07 04:15:39,UTC-07:00,2024-06-06 22:09:00,2024-06-06 23:01:29,52,Activity,7.8,318.0,148,118,17,66,17,0,0,false,,,
2024-06-04 03:20:15,2024-06-05 02:58:09,UTC-07:00,2024-06-04 21:18:36,2024-06-04 22:28:48,70,Gaelic Football,7.0,266.0,150,107,62,31,4,0,0,false,,,
2024-06-04 03:20:15,2024-06-05 02:58:09,UTC-07:00,2024-06-04 18:15:00,2024-06-04 21:15:00,180,Walking,7.4,407.0,142,97,60,10,1,0,0,false,,,
2024-06-03 03:16:50,2024-06-04 03:20:15,UTC-07:00,2024-06-03 13:25:30,2024-06-03 13:47:59,22,Walking,4.6,61.0,148,98,63,10,3,0,0,false,,,
2024-05-26 22:31:48,2024-05-28 03:22:20,UTC-07:00,2024-05-27 10:34:00,2024-05-27 11:20:00,46,Running,12.7,478.0,171,139,10,19,22,49,0,false,,,
2024-05-26 22:31:48,2024-05-28 03:22:20,UTC-07:00,2024-05-27 10:26:31,2024-05-27 10:33:53,7,Running,5.1,58.0,164,126,27,16,38,19,0,true,899.69,19.14,-0.46
2024-05-26 01:45:54,2024-05-26 22:31:48,UTC-07:00,2024-05-26 13:00:00,2024-05-26 13:14:59,14,Spin,5.9,125.0,151,129,1,58,41,0,0,false,,,
2024-05-22 02:26:13,2024-05-23 02:45:05,UTC-07:00,2024-05-22 23:28:41,2024-05-23 00:40:15,71,Running,7.5,317.0,151,108,38,45,6,0,0,false,,,
2024-05-22 02:26:13,2024-05-23 02:45:05,UTC-07:00,2024-05-22 21:58:00,2024-05-22 22:59:00,61,Weightlifting,6.1,152.0,152,92,24,11,4,0,0,false,,,
2024-05-20 01:26:31,2024-05-21 03:00:59,UTC-07:00,2024-05-20 19:34:30,2024-05-20 19:49:29,14,Activity,5.3,89.0,155,117,25,40,25,2,0,false,,,
2024-05-16 02:41:46,2024-05-17 02:04:50,UTC-07:00,2024-05-16 21:51:00,2024-05-16 22:29:59,38,Spin,8.4,306.0,150,127,4,51,45,0,0,false,,,
2024-05-15 01:20:11,2024-05-16 02:41:46,UTC-07:00,2024-05-15 22:42:00,2024-05-15 22:56:59,14,Spin,6.6,147.0,157,137,0,18,77,5,0,false,,,
2024-05-15 01:20:11,2024-05-16 02:41:46,UTC-07:00,2024-05-15 19:19:00,2024-05-15 22:04:00,165,Weightlifting,5.0,249.0,125,81,16,1,0,0,0,false,,,
2024-05-14 02:35:36,2024-05-15 01:20:11,UTC-07:00,2024-05-14 19:05:57,2024-05-14 21:07:02,121,Weightlifting,14.0,392.0,163,97,24,8,12,2,0,false,,,
2024-05-11 00:52:24,2024-05-12 01:50:49,UTC-07:00,2024-05-11 04:58:00,2024-05-11 07:58:00,180,Running,,,,,,,,,,false,,,
2024-05-10 00:00:00,2024-05-11 00:52:24,UTC-07:00,2024-05-10 23:21:00,2024-05-11 00:52:24,91,Running,11.8,683.0,152,126,7,54,39,0,0,false,,,
2024-05-08 23:13:43,2024-05-10 00:00:00,UTC-07:00,2024-05-09 06:00:00,2024-05-09 07:39:00,99,Running,14.7,896.0,168,133,10,15,37,32,0,false,,,
2024-05-07 06:12:48,2024-05-08 02:44:43,UTC-07:00,2024-05-07 23:18:00,2024-05-08 00:28:29,70,Activity,11.2,571.0,155,129,2,53,44,1,0,false,,,
2024-05-04 03:26:39,2024-05-05 03:05:04,UTC-07:00,2024-05-04 22:58:30,2024-05-04 23:32:59,34,Activity,5.6,138.0,141,106,51,34,4,0,0,false,,,
2024-05-03 01:28:25,2024-05-04 03:26:39,UTC-07:00,2024-05-03 14:03:00,2024-05-03 15:45:00,102,Cycling,7.2,311.0,144,100,45,15,7,0,0,false,,,
2024-05-01 01:45:23,2024-05-02 01:31:58,UTC-07:00,2024-05-01 16:49:37,2024-05-01 17:24:34,34,Running,10.0,342.0,163,137,6,13,61,20,0,true,4792.18,123.66,1.82
2024-05-01 01:45:23,2024-05-02 01:31:58,UTC-07:00,2024-05-01 16:48:29,2024-05-01 16:49:23,0,Running,0.3,1.0,102,89,58,0,0,0,0,false,,,
2024-04-29 04:10:00,2024-04-30 04:18:50,UTC-07:00,2024-04-29 19:06:00,2024-04-29 19:25:29,19,Weightlifting,4.6,63.0,131,102,60,27,0,0,0,false,,,
2024-04-29 04:10:00,2024-04-30 04:18:50,UTC-07:00,2024-04-29 18:10:30,2024-04-29 18:32:59,22,Weightlifting,4.8,79.0,124,103,65,21,0,0,0,false,,,
2024-04-23 01:09:13,2024-04-24 02:54:35,UTC-07:00,2024-04-23 16:13:30,2024-04-23 16:35:59,22,Powerlifting,5.0,88.0,137,105,52,32,3,0,0,false,,,
2024-04-21 00:53:17,2024-04-22 02:56:30,UTC-07:00,2024-04-21 07:31:30,2024-04-21 08:22:29,50,Running,10.0,375.0,169,124,20,31,35,11,0,false,,,
2024-04-20 03:29:55,2024-04-21 00:53:17,UTC-07:00,2024-04-20 19:39:00,2024-04-20 20:28:00,48,Activity,10.9,427.0,170,131,11,42,26,21,0,false,,,
